variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M186.9571T0.06	M187T0	186.95705148775	186.95585464905	186.957733379057	3.73158617326575	2.7047293441799	17.4384974071379	57	39	1	17			1836															
M186.9568T1.9	M187T2	186.956761010164	186.955970443283	186.957292995837	114.26866530711	110.895551327006	116.099755212859	47	32	1	14		[M+K]+ 147.991 [M+K]+ 147.991	6															
M186.9571T0.53	M187T1.1	186.957131471203	186.955851990729	186.957656528811	31.6410573189656	22.2688925610933	41.8834783540361	50	30	3	15			64															
M186.957T3.84	M187T4	186.956994691309	186.955939498345	186.957523032477	230.64453717762	228.195048348709	232.825310060263	43	32	1	10		[M+H+NH3]+ 168.921	8															
M186.9569T7.49	M187T7	186.956915520162	186.955835082316	186.957472330466	449.562301102894	435.24925710708	453.167320954345	51	28	3	16			1849															
M186.9568T2.73	M187T3.1	186.956760384591	186.955876944485	186.957402459915	163.948789775396	152.438943158302	165.421212330182	35	24	3	8		[M+K]+ 147.99 [M+K]+ 147.99	11															
M186.957T8.77	M187T9	186.956987089628	186.955805814973	186.95754310932	526.239443014516	519.575754045985	546.462121364019	32	19	3	9			1618															
M186.9571T6.98	M187T7.1	186.957145885807	186.955871856874	186.957648990509	418.924736695981	413.312448823405	424.649635943045	19	12	3	4			2064															
M186.9571T5.35	M187T5	186.95708246486	186.955928415488	186.957649297176	320.926783325948	318.827774582055	322.403041863579	16	10	3	3			1051															
M186.957T8.42	M187T8	186.956995798415	186.955875102572	186.957603050564	504.984011088191	499.324198696883	507.377318009105	14	7	3	4			2409															
M186.9572T9.39	M187T9.1	186.957156329395	186.955836895308	186.957529428553	563.692993817922	547.569442853607	574.852805363469	19	9	3	7			3126															
M186.9564T1.52	M187T2.1	186.956432844603	186.955941793584	186.957696358927	91.0171296867558	85.9811591543662	94.732724471867	9	0	3	6			2828															
M186.9817T0.07	M187T0.1	186.981702832706	186.980564058649	186.982373288079	4.26290155570895	-0.604548691717975	9.53871821859302	65	42	2	21		[3M+2H]2+ 123.988 [3M+2H]2+ 123.988	34															
M186.9816T0.6	M187T1.2	186.981622715448	186.980410313396	186.98219697685	36.046309015585	35.3521059430659	40.4793931669695	48	27	2	19		[M+K]+ 148.015	14															
M186.9817T11.32	M187T11	186.981749419349	186.98062003108	186.982187148993	679.168215018548	667.86433637829	692.550270465035	75	39	1	12			2572															
M186.9929T1.16	M187T1.3	186.992883479495	186.99221449686	186.994093936796	69.660603095908	68.1445242604338	70.9099471954736	66	42	3	21		[2M+3Na+K-H]3+ 227.015	2792															
M187.0582T0.83	M187T1.4	187.058248326345	187.057218115888	187.058782404015	50.0063339076446	49.4737374541398	51.6459950255992	62	42	0	20			1265															
M187.0607T1.49	M187T1.5	187.060676760577	187.057280039644	187.061610404376	89.5738004133127	85.8003403556627	91.7204912833855	58	40	1	17	[155][M+1]+		2829															
M187.0637T6.22	M187T6	187.063745913976	187.06326426427	187.06413575531	373.28761578846	372.134575627883	374.339752879799	45	37	0	8			79															
M187.0721T0.97	M187T1.6	187.072088503773	187.070938246569	187.07259452257	58.3276409948907	57.7259912943366	59.9443708604154	63	42	0	21	[158][M]+	[M+H]+ 186.068	53															AMPA [IS]
M187.0974T2.92	M187T3.2	187.097411536476	187.09651783744	187.097976718163	175.381775638592	172.91291577634	177.239514225293	56	38	0	18			3048															
M187.1156T7.8	M187T8.1	187.11556899465	187.114471844976	187.116036500407	468.075617227856	462.830565583816	469.236023615098	47	34	3	10			4															
M187.1271T8.02	M187T8.2	187.127126183846	187.125966561342	187.132397587734	481.084443251144	471.360316213036	482.143504845775	66	42	3	21	[159][M]+		2369															
M187.1338T7.3	M187T7.2	187.133832884538	187.132459339298	187.134468972816	438.139659796657	436.366152154262	441.240836610465	42	30	2	10			1873															
M187.1531T6.62	M187T7.3	187.153121996765	187.152454562762	187.15364666577	397.458302593504	396.247980396404	398.409621373605	57	42	0	15	[156][M+1]+		530															
M187.1894T10.16	M187T10	187.189368009993	187.188199063266	187.18982740027	609.824835543989	609.131968063988	610.971295435046	44	33	1	10	[157][M+1]+		44															
M187.3228T0.97	M187T1.7	187.322756705886	187.31509844111	187.323249365686	58.2613033328119	56.48590030033	67.5385301707721	51	30	0	12			53															
M187.9914T0.76	M188T1	187.991400064933	187.983992696754	187.992025910516	45.5976642711858	39.5873164897988	46.1634604660387	57	39	1	17		[M+H-CH2]+ 201 [M+H-CH2]+ 201	49															
M187.9962T1.12	M188T1.1	187.996208168217	187.989262460262	187.997699257849	67.462339856756	66.8361175164634	70.6136996885695	28	15	3	10			488															
M188.0012T0.07	M188T0	188.001185179266	187.999988055452	188.001910578904	4.00494258685364	-1.07270667801586	7.33327859584017	58	36	2	20		[M+K+NH3]+ 132.003 [M+K]+ 149.043	34															
M188.0012T0.58	M188T1.2	188.001168686165	188.000021595952	188.001801886517	34.8534465311849	28.7765520519054	36.5484006025845	55	36	0	19			2927															
M188.0358T0.82	M188T1.3	188.035753631057	188.034795552656	188.036271496453	48.9846618085658	48.5836590776344	57.010481049332	30	15	0	15			1266															
M188.0508T1.51	M188T2	188.050841481641	188.050252074232	188.05143904272	90.3641104359235	81.9428536501459	91.8305948302657	40	31	0	9			2830															
M188.0711T3.83	M188T4	188.071103606463	188.070277004487	188.071651163808	229.815321473535	228.462304779776	231.27973347414	63	42	0	21	[160][M]+	[M+H-NH3]+ 204.09	8															
M188.0685T1.9	M188T2.1	188.068522760574	188.06784747294	188.068974495715	114.124891798719	113.565126158659	114.645029271937	59	42	0	17		[M+Na+K-H]+ 127.132 [M+Na+NH3]+ 148.054	6															
M188.0716T4.33	M188T4.1	188.071636013348	188.071039573508	188.073672284366	259.506645119353	257.986297899895	282.43831231157	63	41	0	14	[161][M]+		2503															
M188.0716T7.19	M188T7	188.071556441203	188.070228281009	188.072019922323	431.195896138105	429.413275402865	431.743347574804	44	29	0	15			4402															
M188.0691T3.44	M188T3	188.069062799018	188.066685313368	188.069735932795	206.33537252438	193.484853014342	208.912788387896	44	30	0	12			3010															
M188.0754T0.97	M188T1.4	188.075381621074	188.074193548708	188.07586495103	58.3090301411005	57.7259912943366	59.9443708604154	63	42	0	21	[158][M+1]+		53															
M188.0749T4.71	M188T5	188.074932478811	188.073885596241	188.075530350243	282.449318462468	281.826169763249	282.929132566864	39	20	0	19	[162][M]+		4223															
M188.0927T2.22	M188T2.2	188.092664149517	188.091675781073	188.093197699354	133.313967866355	126.86001737578	135.376774696397	60	42	1	17			3237															
M188.0926T1.42	M188T1.5	188.092589793979	188.092015786499	188.093106565162	85.2060194598909	84.1477971009356	86.5127652079031	53	38	0	15	[155][M+2]+		2831															
M188.1165T2.1	M188T2.3	188.116518834783	188.115809140006	188.117021318073	125.94722181721	124.476015123182	127.794570569881	53	39	0	14			3233															
M188.1291T5.6	M188T6	188.129124403196	188.127765496311	188.129683616084	335.898872738758	335.182362669494	338.987209866993	63	42	2	19	[163][M]+	[M+H]+ 187.12	88															
M188.1291T6.7	M188T7.1	188.129093028327	188.127716644292	188.129637364515	402.126580580975	400.892765127612	403.335373545793	53	34	0	19			4414															
M188.1289T1.56	M188T2.4	188.128876959485	188.128164844462	188.129347530195	93.5757475777692	86.483979637444	95.6945118919221	54	37	0	16		[M+Na]+ 165.132	4147															
M188.1306T8.02	M188T8	188.130629672017	188.129594394957	188.135667424572	480.963643872249	471.360316213036	482.198070537157	42	32	1	9	[159][M+1]+		2377															
M188.1655T6.37	M188T6.1	188.165474442057	188.164226860475	188.166031567644	382.00455443551	381.000894045331	386.139122218393	44	33	1	10	[156][M+2]+		19															
M188.2128T0.7	M188T1.6	188.212821450966	188.212014459432	188.213291368145	41.8873137015838	37.443072504203	42.8392253778459	38	22	0	16			49															
M188.9792T0.07	M189T0	188.979160955674	188.978005861105	188.979640043612	4.25752401449202	2.38801782487632	7.12113936223821	43	25	2	16			34															
M189.0761T0.97	M189T1	189.076103431201	189.069653859589	189.076591491395	58.3143924170563	52.4563726123578	68.1445242604338	66	42	2	20	[158][M+2]+		53															
M189.0744T3.83	M189T4	189.074421951636	189.073608856385	189.074971525394	229.815321473535	228.462304779776	231.27973347414	63	42	0	21	[160][M+1]+		8															
M189.0769T4.23	M189T4.1	189.076880031188	189.076210889803	189.077478267939	253.82688612919	252.763163306872	254.90474811664	53	39	0	14	[161][M+1]+		2504															
M189.079T7.4	M189T7	189.07897776112	189.074296863568	189.079904507054	443.710043413816	429.430170633317	445.088377232305	83	42	0	20			1874															
M189.0783T4.7	M189T5	189.078268540192	189.077221997416	189.078907200007	282.274082315898	281.826169763249	282.916574221731	39	20	0	19	[162][M+1]+		4224															
M189T1.1_N�..Acetyl.L.glutamine.N.	M189T1.1	189.087579388814	189.086501644854	189.088117644396	59.5837102751917	59.0387579445181	62.029669673387	63	42	0	21			26	Nα-Acetyl-L-glutamine;N-Acetyl-L-glutamine	C7H12N2O4	188.07971		HMDB06029		CID182230	KSMRODHGGIIXDV-YFKPBYRVSA-N	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1				2	a,b	
M189.1031T1.36	M189T1.2	189.103113143474	189.099622317504	189.103685697345	81.4588499719288	66.7768779779046	93.3525864885783	58	30	0	10	[155][M+3]+		2832															
M189T7.1_Azelaic.acid.Nonanedioic.	M189T7.1	189.11313447112	189.111765219265	189.113668665549	392.376156147291	391.102860224814	394.722349084823	61	42	1	18	[164][M]+		531	Azelaic acid;Nonanedioic acid	C9H16O4	188.10486	CHEBI:48131	HMDB00784	C08261	CID2266	BDJRBEYXGGNYIS-UHFFFAOYSA-N	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	Lipid metabolism	Fatty acids	Dicarboxylic	2	a,b	
M189T1.3_N6.Acetyl.L.lysine	M189T1.3	189.124039437828	189.121026080615	189.128241803112	53.8889923507674	53.3372737101026	67.8830050469493	75	42	0	21		[M+H-CH4]+ 204.142	33	N6-Acetyl-L-lysine	C8H16N2O3	188.11609	CHEBI:17752	HMDB00206	C02727	CID92832	DTERQYGMUDWYAZ-ZETCQYMHSA-N	InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1	Amino acid metabolism	Lysine degradation	Others	2	a,b	
M189.1244T2.45	M189T2	189.124378879887	189.123777294791	189.12504543003	147.282274808573	127.745449239816	148.910021107842	54	39	0	14			4531															
M189.1325T5.6	M189T6	189.132475236159	189.130354059827	189.13300510211	335.909736490877	335.360682147924	354.045393550416	55	42	1	12	[163][M+1]+		88															
