variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M233.9717T2.04	metabolomics_liver_hilic_neg	MX2	hilic			NA												M234T2	233.971710475109	122.518310958806			2453	NA		-0.81097917524909	0.530233649920493	0	-0.139736719109148	0.935803859981756	0	1.07663297114853		0
M344.1169T8.95	metabolomics_liver_hilic_neg	MX2	hilic			NA												M344T9	344.116876722847	537.00097753756	[527][M+2]-		818	NA		-0.425569146086616	0.530423384229786	0	-0.500557044516132	0.310270950407746	0	1.01844969235954		0
M404.1311T4.11	metabolomics_liver_hilic_neg	MX2	hilic			NA												M404T4.1	404.131066142693	246.823249520291			1	NA		-0.302380123490721	0.530423384229786	0	0.10837814804642	0.790290020676188	0	0.944524951757945		0
M177T7_D.....Gluconic.acid.�..l.	metabolomics_liver_hilic_neg	MX2	hilic	D-(+)-Gluconic acid δ-lactone;D-Glucono-1,5-lactone;gluconolactone	CHEBI:16217	2	a,b	C00198	Carbohydrate metabolism	Pentose Phosphate pathway	Pentose	HMDB00150	CID7027	C6H10O6	178.04774	PHOQVHQSTUBQQK-SQOUGZDYSA-N	InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1	M177T7	177.040503044847	396.063098452575		[M-H-CH2]- 192.071	7	NA		-0.855310778237882	0.531273571765208	0	0.440834601630932	0.705747561062178	0	1.24479183535971		0
M271.0675T7.05	metabolomics_liver_hilic_neg	MX2	hilic			NA												M271T7	271.067457354134	422.774900174989	[380][M]-		3	191	@M273.0715T7.05|-18O|-13C2	-0.266575573739658	0.531537440065517	0	-0.224566705917638	0.518966609593838	0	0.98614733131388		0
M194.0361T8.81	metabolomics_liver_hilic_neg	MX2	hilic			NA												M194T9.2	194.036075655145	528.379429872513	[226][M+1]-		752	NA		0.373283359174355	0.532330964526259	0	0.0933336707118073	0.890641264068763	0	0.926734184268549		0
M278.1248T5.57	metabolomics_liver_hilic_neg	MX2	hilic			NA												M278T6	278.124840268001	333.97299894469	[394][M]-		4	NA		-0.315048402421905	0.532330964526259	0	-0.382740237576485	0.293133509200296	0	1.15725155105988		0
M524.2997T1.35	metabolomics_liver_hilic_neg	MX2	hilic			NA												M524T1.1	524.299736084899	80.9945583095546			5	381	@M525.3032T1.36|-13C	0.269582345258154	0.532330964526259	0	0.379284453571483	0.195559494553881	0	1.10646771028997		0
M310.097T5.04	metabolomics_liver_hilic_neg	MX2	hilic			NA												M310T5	310.097049105384	302.356732642039	[475][M]-	[M-H+NaCOOH]- 243.116	12	NA		-0.229446117864821	0.532330964526259	0	-0.22903539300447	0.427383937464328	0	1.16193866246735		0
M587.7077T17.11	metabolomics_liver_hilic_neg	MX2	hilic			NA												M588T17	587.707698632865	1026.76556572013	[776][M]-	[M-H+NaCOOH]- 520.735	28	NA		0.093859461665712	0.532330964526259	0	-0.137676785945992	0.201823553624676	0	0.858960121049813		0
M192.9813T2.08	metabolomics_liver_hilic_neg	MX2	hilic			NA												M193T2	192.981286208758	124.640852656684			57	NA		-2.12590097171059	0.532443512757315	0	-1.00021459679737	0.76179459991971	0	1.07498672413333		0
M446.099T4.05	metabolomics_liver_hilic_neg	MX2	hilic			NA												M446T4	446.098955218774	243.005302958066		[M+Cl]- 411.135	1	NA		-1.43589073031644	0.532443512757315	0	-0.560903905181618	0.808902965090163	0	1.403522887562		0
M385.1107T6.15	metabolomics_liver_hilic_neg	MX2	hilic			NA												M385T6	385.110655568051	369.090579383208			309	NA		0.475162988476622	0.532443512757315	0	-0.455260600711217	0.449376229122871	0	1.22822179346035		0
M250.0394T8.32	metabolomics_liver_hilic_neg	MX2	hilic			NA												M250T8	250.039436916243	499.267400734046		[M+Cl]- 215.076	15	NA		0.385343801669414	0.532443512757315	0	0.323075728254649	0.525118351567028	0	1.07849008596843		0
M434.106T11.45	metabolomics_liver_hilic_neg	MX2	hilic			NA												M434T11	434.106004983418	686.773463750425			2292	NA		0.270909592898864	0.532443512757315	0	-0.244080382660471	0.47571793000084	0	1.29527245189604		0
M164T3.1_L.Phenylalanine.Phenylal.	metabolomics_liver_hilic_neg	MX2	hilic	L-Phenylalanine;Phenylalanine	CHEBI:17295	2	a,b	C00079	Amino acid metabolism	Phenylalanine metabolism|Phenylalanine, Tyrosine and Tryptophan biosynthesis	Phenylalanine	HMDB00159	CID6140	C9H11NO2	165.07898	COLNVLDHVKWLRT-QMMMGPOBSA-N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	M164T3.1	164.071866214407	174.311079625386	[153][M]-	[M-H]- 165.078	22	65	@M147.0453T2.91|+(NH3)|+NH3|@M165.0751T2.9|-13C	-0.156012655644812	0.532443512757315	0	-0.048236323509542	0.849677430660867	0	1.44099327309027		0
M480.7386T20.38	metabolomics_liver_hilic_neg	MX2	hilic			NA												M481T20	480.738624933324	1222.52150501124			30	NA		0.435766284874544	0.532929250443515	0	-0.206798677029925	0.729377447834929	0	1.28283802610147		0
M362T10_GMP.Guanosine.5..monopho.	metabolomics_liver_hilic_neg	MX2	hilic	GMP;Guanosine 5'-monophosphate;Guanosine monophosphate	CHEBI:17345	2	a,b	C00144	Nucleotide metabolism	Purine metabolism	Guanine	HMDB01397	CID6804	C10H14N5O8P	363.058	RQFCJASXJCIDSX-UUOKFMHZSA-N	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	M362T10	362.05143672985	585.871098407222	[560][M]-	[M+Cl]- 327.084	17	279	@M363.0552T9.76|-13C	0.431352282021162	0.532929250443515	0	-1.72830562528373	0.000526759094274344	1	1.1093170453607		0
M442T10_GDP.Guanosine.diphosphat.	metabolomics_liver_hilic_neg	MX2	hilic	GDP;Guanosine diphosphate;Guanosine 5'-diphosphate	CHEBI:17552	2	a,b	C00035	Nucleotide metabolism	Purine metabolism	Guanine	HMDB01201	CID8977	C10H15N5O11P2	443.02433	QGWNDRXFNXRZMB-UUOKFMHZSA-N	InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	M442T10	442.018113580469	613.686673360633			1682	NA		0.524997464567504	0.533757044728847	0	0.428550586188068	0.539204435424908	0	1.34252965148842		0
M455.1417T10.67	metabolomics_liver_hilic_neg	MX2	hilic			NA												M455T11	455.141666536206	640.08148774207			2093	NA		-0.255973772325735	0.533757044728847	0	-0.119223865201855	0.764567679145598	0	1.67760887521845		0
M223.046T7.93	metabolomics_liver_hilic_neg	MX2	hilic			NA												M223T8.1	223.046040791431	475.911551557341			157	NA		0.226538024237385	0.533757044728847	0	-0.124987992945712	0.685488239272311	0	1.16300832430696		0
M167.9973T7.51	metabolomics_liver_hilic_neg	MX2	hilic			NA												M168T8	167.997290269386	450.409610873808	[163][M]-	[M-H-CH4]- 185.036	3	NA		0.197437838605847	0.533757044728847	0	-0.126061017794036	0.629144635047847	0	1.08406870750583		0
M156.1112T1.44	metabolomics_liver_hilic_neg	MX2	hilic			NA												M156T1.1	156.111218284826	86.1993787232666	[134][M+2]2-		11	NA		1.50651103057654	0.534092993882309	0	-1.21565261228309	0.530846504000455	0	1.21692818467215		0
M394.1623T2.22	metabolomics_liver_hilic_neg	MX2	hilic			NA												M394T2	394.162305034703	133.170813457304			18	NA		-0.653109702837716	0.534092993882309	0	-0.0503903008826345	0.982970411864345	0	0.988983835391231		0
M498.1888T5.47	metabolomics_liver_hilic_neg	MX2	hilic			NA												M498T5	498.188812528735	327.900227688232	[703][M]-		24	360	@M499.1923T5.47|-13C	-0.455557152441276	0.534092993882309	0	0.729704977222717	0.158675129418683	0	0.940389668613107		0
M153.0304T5.82	metabolomics_liver_hilic_neg	MX2	hilic			NA												M153T6.1	153.030385126551	349.033460341833	[125][M+2]-		4	NA		-0.173634519417114	0.534092993882309	0	-0.0444969763902101	0.887477141334205	0	1.08838222761162		0
M383.6221T10.44	metabolomics_liver_hilic_neg	MX2	hilic			NA												M384T10	383.622054496723	626.549887183568			1877	272	@M413.6326T10.43|-(CH2O)|@M414.6351T10.43|-(CH3O.)|@M443.6391T10.43|-(CH3COOH)|-(C2H4O2)|-CH3COOH|@M444.642T10.43|-(NH3)-(CO2)	-0.371787462725024	0.534640243406828	0	-0.27860511781398	0.585704645499534	0	1.67381478875146		0
M661.4116T1.44	metabolomics_liver_hilic_neg	MX2	hilic			NA												M661T1	661.411560116867	86.1148549206275		[2M-2H+K]- 312.231	11	NA		-0.305385215788474	0.534640243406828	0	-0.00503820922256359	0.99016649656894	0	1.09225045296053		0
M910.1675T6.74	metabolomics_liver_hilic_neg	MX2	hilic			NA												M910T7	910.167523573051	404.388361222846	[910][M+1]-		2413	NA		0.199686834115548	0.535739095820478	0	0.069058477562189	0.832354700665054	0	1.23058846515446		0
M95.0252T2.25	metabolomics_liver_hilic_neg	MX2	hilic			NA												M95T2.2	95.0252100028268	134.886103870234			18	NA		0.387831167379538	0.537055134550328	0	-0.597507000808177	0.182883658848608	0	0.558989040204753		0
M364.1367T7.28	metabolomics_liver_hilic_neg	MX2	hilic			NA												M364T7	364.136686791879	436.563022849574		[M+Cl+NaCOOH]- 261.169 [M-H]- 365.141	3	NA		-0.352547128672189	0.537746573886367	0	-0.0427251405724185	0.961721483362552	0	1.3401224937921		0
