variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M337.6919T4.32	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M338T4	337.691883514915	259.107945506811	[592][M+2]2+		1909	363	@M338.1937T4.32|-13Cdb	-0.7755998564223	0.183566986583098	0	-0.0885687635700574	0.885444658523229	0	0.78129595089168		0
M590.1902T1.18	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M590T1.3	590.190209495847	71.0452260139127		[M+Na]+ 567.203	1670	NA		0.264042223492993	0.183566986583098	0	-0.0704472704488239	0.875917010629235	0	1.14404368550998		0
M248.1075T9.48	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M248T9	248.107543893285	568.937613263942	[323][M]+		831	182	@M249.1109T9.48|-13C	-0.407122074972142	0.183574551811041	0	-0.544870375323507	0.16523857080213	0	0.704877525439809		0
M204T1.6_Acetylcarnitine.Acetyl.L.	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil	Acetylcarnitine;Acetyl-L-carnitine;O-Acetylcarnitine	CHEBI:15960	C02571	Lipid metabolism	Fatty acids	Acylcarnitine	HMDB00201	CID439756	C9H17NO4	203.11576	RDHQFKQIGNGIED-MRVPVSSYSA-O	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1	M204T1.6	204.123998282648	55.2268106276969	[198][M]+		4	120	@M205.1273T0.92|-13C	0.398888529122527	0.183856858946753	0	0.227964746594978	0.555892195703901	0	0.882904391650315		0
M520.1232T5.54	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M520T6	520.123179127985	332.338883646787	[1049][M+1]+		79	493	@M498.1411T5.54|+Na|@M519.1196T5.54|+13C	-0.298469079602361	0.184277993989313	0	-0.879476658871999	0.00358961629391689	1	0.432282563459263		0
M718.0946T3.25	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M718T3	718.094595360015	195.07086076661	[1368][M]+	[M+2K-H]+ 641.18	59	784	@M717.0869T3.25|+13C|@M719.0979T3.25|-13C	-0.636492830660613	0.18456114731243	0	0.300279244512886	0.716189675873777	0	0.935142460332166		0
M160.8279T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M161T2.15	160.827889328547	113.180487692016		[M+H+K]2+ 281.676	2	NA		-0.327675557604557	0.18456114731243	0	-0.327341507791701	0.296476654570897	0	0.798363492072684		0
M350.1658T5.57	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M350T6.2	350.165821190051	334.425832192224		[M+K]+ 311.207 [2M+3H]3+ 523.744	79	NA		0.474652459766483	0.185012998169765	0	0.0503662416663939	0.889856188983128	0	0.759428344578198		0
M293.6244T3.24	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M294T3	293.624403898169	194.620891731644			2361	NA		-0.344199573860008	0.185012998169765	0	-0.0558298174315937	0.854983800275511	0	0.762432371655597		0
M332.1722T3.2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M332T3	332.172198038684	191.945665244363	[580][M]+		59	349	@M333.175T3.2|-13C	0.334299664397939	0.185012998169765	0	0.497122066877921	0.120688201749813	0	0.616307473677972		0
