variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M488.8779T9.19	21.00893805	20.80817156	21.06459213	20.81109242	20.82339212	20.79982942	20.91994496	20.90311691	20.76764297	21.05976891	20.9512285	20.977231	20.8147569	21.05403853	21.16585957	20.12972574	20.84498537	20.60816727	20.92879449	20.38347966	20.63672727	20.81499936	21.08547959	21.07323024	20.54597029	20.99731871	20.92013038	20.84533384
M310.0704T6.55	18.87967508	16.66642097	15.84479402	18.78294927	19.25783001	17.29517881	18.03806269	18.0660403	16.68325645	15.93380083	17.94652139	16.66574811	15.7826919	15.89603859	15.4581996	15.238907	15.94569621	15.54257516	0	14.77386604	14.77828662	16.80890009	17.18580171	13.18032785	18.01948051	15.86692512	17.5867218	17.28600177
M219.9923T11.07	12.8761639	12.74294137	13.96516469	14.72904128	13.66345804	13.90029796	13.4618324	13.26819459	10.03809592	0	11.17626417	11.73752791	14.84118102	14.83645428	12.26182255	13.61996774	14.33778774	14.4824664	14.56492709	14.70974027	14.4511583	14.06225278	13.88428311	12.47830904	12.64159547	14.49870525	11.7944114	14.37625022
M90.0882T4.24	17.6812209	17.16591025	18.54598494	16.50230474	17.14172367	17.89764975	17.28854548	16.84331901	18.85149555	18.5159455	18.27053579	18.73397016	17.78324616	17.0885235	17.84373465	16.28064124	18.83234198	18.18099374	19.38766055	19.41780463	19.3795296	17.22458286	18.18918641	19.51726983	17.22641493	19.50551526	17.89348922	17.91750193
M326.5763T10.22	18.65322086	17.0095203	18.7597741	17.45598615	17.92635449	17.83821169	18.26198332	17.8981148	17.92214011	17.95018622	17.9477602	17.92312898	19.00926495	17.28086228	18.12214095	15.12810874	17.66637867	17.87915663	18.4592527	18.36762505	17.1365416	17.45851315	17.54310283	18.10401563	17.81771755	17.57705996	17.39634054	17.63539717
M185.057T8.96	11.80146425	11.72174561	11.91349644	0	11.15500476	12.25766539	14.75931815	14.69166501	14.56553649	16.00588635	15.21996484	14.52817326	0	13.52068129	14.5283198	11.67918625	13.33058781	13.58211728	15.63944359	14.30510627	15.03999384	14.47134054	12.95294177	14.91673414	15.44528746	13.80092113	16.43440914	14.19956346
M329.2488T1.28	22.00180675	21.85405607	22.11062158	22.78911749	22.96039335	22.40338423	22.27647516	21.99167338	22.26985777	22.63699118	22.37122468	22.31891512	22.16241038	21.62571598	22.1215879	21.36549426	22.02102401	21.7010784	21.52283388	21.53305116	21.60419124	22.53368737	22.1770405	21.83197132	22.34668009	21.94228039	22.35399185	22.69025337
M187.0977T1.5	14.1122717	14.77726251	15.15792005	15.40844618	14.45172176	16.05658035	14.54445737	15.17143367	15.51803377	16.71648457	16.10900666	13.2642624	14.72566075	16.44034249	15.27164685	15.50403438	15.18517587	17.16763081	16.84072384	15.25912313	16.23456505	16.94546556	15.34537683	15.89769162	15.11091961	15.4461302	15.47646966	14.90284896
M164.0717T9.34	20.25843837	19.57624924	21.00349321	19.83746825	12.04647401	18.74187215	19.71704078	20.623134	15.10215575	18.96208518	18.92646685	19.65337797	20.2472171	18.55464693	18.67539544	18.01042102	18.42596616	16.76883304	19.28051661	18.88205341	18.68301721	14.75812586	0	19.05887115	18.73364231	14.55491436	19.28892756	16.28227943
M310.1165T2.93	15.87969691	14.65372847	14.75103298	17.85128239	16.0992839	15.72477096	15.62813593	15.50881796	15.67670751	15.2854127	16.85898994	15.02958876	15.72307161	15.28895581	15.39535606	14.39875171	14.93628274	15.24474698	12.52637037	13.55849127	14.48896293	16.47781754	15.24974012	14.17795204	16.28424213	14.37881437	16.64225199	16.13868898
M173.009T4.16	20.37155759	20.31993447	20.39659851	19.83101229	20.24648199	20.05521093	20.58481573	20.06616936	19.29915323	19.40777334	20.03744641	20.22566993	19.80931188	20.23664373	19.66243908	20.60173815	20.67489137	20.70063021	20.23507931	20.25399517	20.29003235	19.69049662	20.29799542	20.2510894	20.14404453	20.34834023	20.34074658	19.78743759
M152.9958T5.73	18.32606192	20.10049446	19.74260252	20.52923084	19.33599382	19.59393079	18.345833	17.45440854	19.685234	19.69374868	19.73767777	19.66058608	19.86814409	20.26004965	18.78403196	18.63993025	19.1795921	18.18553315	18.80597443	18.81691498	18.83204268	19.74528957	19.91449684	18.74603572	18.05615203	18.92976456	18.75346798	19.38267134
M241.1814T1.38	16.54081882	14.76015648	12.05934209	17.06218003	16.82963479	14.36964846	17.37067549	17.53680042	16.32417773	12.63168341	16.66488473	15.35794472	0	12.35156263	13.07817016	16.01684375	16.39956666	18.06468436	16.872854	15.20978765	16.49249274	17.03162367	16.17782107	16.71204464	16.81582606	15.27614913	16.54662471	16.83934036
M124T8.1_Taurine.2.Aminoethanesul.	28.13397301	28.19932933	28.0188656	28.77760944	27.78611509	28.03337179	28.67803518	27.17989435	28.13164965	27.95454446	28.41585046	26.7208311	28.25415296	28.43808362	28.52870594	28.32391082	27.07717856	28.85182289	29.14367674	28.69132678	28.408385	28.62907008	28.88676998	28.58851274	28.27918456	28.42900281	28.38449486	28.24787499
M524.2997T1.35	19.0741859	19.04354107	18.97287324	19.81811497	19.74256668	19.51273506	19.25352506	18.2253289	19.19001875	19.24254613	19.65809866	19.08053807	19.4722932	19.73412627	19.61544016	18.77011411	19.09711293	19.36461646	19.30613046	17.96095332	18.91755914	19.38849013	19.13635335	19.3417338	18.81625619	19.24593981	18.987523	18.80470423
M119.0351T5.95	23.16857138	21.32098244	20.1685725	19.64501205	22.88059852	23.51318458	22.29153382	22.09099633	22.43498293	23.79549642	17.71694402	19.46242024	21.97975222	22.47438261	22.85792196	19.49442857	22.56293938	18.58608852	22.09486442	19.60044354	17.85903195	20.14379547	22.41357283	20.4137744	19.90384794	21.88177305	18.79749885	22.96668208
M187.1089T3.49	17.71647519	19.13183712	17.13657264	0	16.95094996	18.14700762	17.91437812	17.90413419	0	13.10839851	14.40408579	10.73991644	20.0731073	19.68045259	19.10095923	17.50655088	17.37541791	16.56391884	20.17616341	19.39780079	19.40674541	17.29497876	18.26092321	19.35029544	17.28735617	19.50974659	15.19483648	17.42435905
