variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M172.5239T4.1	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M173T4	172.523942805081	245.8762688758			138	NA		3.60733773224844	0.212949762354021	0	1.55215295033321	0.501328822212592	0	2.57389697360472		0
M556.2383T5.43	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M556T5.2	556.238260190657	325.909695668377			1151	NA		1.29253377171488	0.212949762354021	0	-1.27577406235139	0.0571920995530976	0	1.89167055932441		0
M437.9312T5.08	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M438T5	437.931216812787	304.908034269835	[722][M]2+	[3M+2Na+K-H]2+ 263.98	9	NA		0.738016704936296	0.212949762354021	0	0.262902590556482	0.597417565854137	0	2.42877419165199		0
M431.2678T6.55	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M431T7.1	431.267752808484	392.743999126098			626	NA		-0.571430926767292	0.218015464884134	0	-0.427331890857605	0.185574862205865	0	2.27618681966431		0
M740.9889T6.19	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M741T6.1	740.988900571005	371.32496834422			79	NA		2.28669818933408	0.224325592725597	0	-1.07982310310698	0.393556330774606	0	2.27546704069259		0
M399.0652T0.94	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M399T1	399.065225690579	56.6208634790207	[640][M]+		33	NA		-0.452672035934938	0.228432147635242	0	-0.415878973101513	0.0857162514649083	0	2.26268348931321		0
M349.8551T5.59	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M350T6.1	349.855134659019	335.415157033512		[M+Na]+ 326.874	88	NA		-0.522419997030914	0.229258365769538	0	-0.0393454637863009	0.961554832311168	0	2.21251740236406		0
M544.2895T6.4	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M544T6.1	544.289495605195	383.96649985666			659	NA		0.403856230647367	0.230867158108104	0	-0.59112110412712	0.00509779235897227	1	1.66668363210122		0
M189.1031T1.36	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M189T1.2	189.103113143474	81.4588499719288	[155][M+3]+		2832	NA		4.31495044179982	0.232025866094397	0	-0.0866265433902598	0.937355519876442	0	2.35980063754304		0
M728.674T7.12	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M729T7	728.673973184153	427.347428338651			2136	NA		0.525379264791461	0.232025866094397	0	-0.872872288045036	0.00175383360347151	1	1.57618527240894		0
