variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M626.0653T6.09	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M626T6	626.065340946988	365.34015146136	[1264][M]2+		2442	734	@M626.5667T6.09|-13Cdb	1.95355999666666	0.462737004396715	0	0.930042959890157	0.735347722476911	0	0.969197538070354		0
M273.1702T4.74	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M273T5.1	273.170224330247	284.688338120512		[M+K]+ 234.212	71	NA		-0.765692583789891	0.463647256852113	0	-0.838734857984278	0.337016757687605	0	0.782403917094176		0
M601.028T5.62	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M601T6	601.027985907873	337.197833050251			2884	NA		0.699971022214743	0.46393541022457	0	0.701220670568757	0.392203952346025	0	1.3987041160598		0
M562.179T7.33	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M562T7	562.178970124164	439.693337405115			1043	NA		-0.691440336752494	0.46393541022457	0	-3.35148439382769	1.87970151371798e-07	1	0.612919612836425		0
M409.2467T4.36	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M409T4.4	409.246712813348	261.849283340015			2023	NA		-0.406877150192047	0.46393541022457	0	-0.323333790981652	0.513011715139905	0	0.45637997255205		0
M574.0583T5.47	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M574T5	574.058269612783	328.024081909686			16	NA		-0.231605722297111	0.46393541022457	0	0.551056704279484	0.0278995027363402	1	0.796881532839919		0
M251.6673T4.74	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M252T5	251.667250038558	284.328339929377	[335][M]2+	[M+2H-HCOOH]2+ 547.325	71	191	@M252.1689T4.74|-13Cdb	-1.55428116040453	0.464036071719062	0	-0.740731647151909	0.736182034823484	0	0.979848049361778		0
M185.0929T1.58	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M185T2.1	185.092946925429	94.9321038706705			2487	NA		-1.37359552345007	0.464036071719062	0	0.208108266860197	0.89884169041914	0	0.916868584378307		0
M324.6973T4.32	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M325T4.1	324.697255660239	259.323443544247			1882	NA		-0.705244025965547	0.464036071719062	0	0.150320439071052	0.861653421184856	0	1.68651744134792		0
M552.2395T8.8	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M552T9	552.239479319916	528.027066748461			2683	NA		-0.388258391731243	0.464036071719062	0	-0.317896520892345	0.499719051322098	0	0.661562387638684		0
M146.0639T4.18	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M146T4.1	146.063939821286	250.569876925779			1720	NA		-0.347544175371285	0.464036071719062	0	-0.263840652782575	0.535634149458182	0	1.28842274326785		0
M221.9325T0.71	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M222T1	221.932513181643	42.8181951438556	[242][M+1]+		1359	NA		0.149390095627108	0.464036071719062	0	-0.251459170693607	0.12493396977914	0	1.12376591878324		0
M813.9656T6.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M814T6.1	813.965623796015	375.643402476024		[3M+2Na+K-H]2+ 514.681	64	NA		0.256366003834781	0.464069688120466	0	-0.00182177849480425	0.979971538650429	0	0.723926879955257		0
M464.2089T5.89	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M464T6	464.208854745016	353.411982558583	[931][M]+		78	523	@M446.1982T5.91|+(H2O)|@M465.2122T5.89|-13C	0.715949999961758	0.465028735460528	0	-0.0361706268858129	0.960154507002804	0	1.41078283765889		0
M219.0276T0.78	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M219T1.1	219.027576533761	47.0623542244873	[232][M]+		4	141	@M220.0309T0.78|-13C|@M221.0256T0.78|-34S|-41K|-37Cl|@M256.9835T0.76|-K|@M302.9893T0.76|-(HCOOK)	0.177314287680517	0.465028735460528	0	-0.372811626540653	0.0514483265873154	0	1.13019853130812		0
